,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Age_Group,AdSpend,ConversionRate,Campaign_Channel,Campaign_Type,Total_Indiv,Avg_Open_To_Buy_Avg,Conversion_Value,Total_Customer_Growth,ROI
0,768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,9.3448e-05,0.99991,40-50,3957.306909948415,0.06961154903389664,PPC,Consideration,13939.38,6205.967793556592,432.0070313639481,14371.387031363947,2.6316078986027605
1,818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,5.6861e-05,0.99994,40-50,7178.486588754999,0.1638465737363908,PPC,Conversion,9757.44,6205.967793556592,1016.8265596926368,10774.266559692638,0.5009105925711946
2,713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,2.1081e-05,0.99998,50-60,8333.88989672685,0.10683577352342659,Social Media,Retention,3691.44,6205.967793556592,663.0193696860915,4354.459369686092,-0.4774997721776582
3,769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0.00013366,0.99987,30-40,3557.6889672167936,0.050291506690526434,SEO,Awareness,811.92,6205.967793556592,312.1074708108429,1124.027470810843,-0.6840568466865787
4,709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,2.1676e-05,0.99998,30-40,4326.482454223845,0.17877764742492852,PPC,Consideration,2971.08,6205.967793556592,1109.488322126922,4080.568322126922,-0.05683927640960213
5,713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,5.5077e-05,0.99994,40-50,8134.315352683927,0.19281267517552364,PPC,Consideration,2984.04,6205.967793556592,1196.5892523287885,4180.629252328788,-0.48605026101558935
6,710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,4.4796e-05,0.99996,30-40,8339.09518323443,0.199995,Email,Consideration,21421.8,6205.967793556592,1241.1625288723508,22662.96252887235,1.7176764422159065
7,719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0.00030251,0.9997,40-50,4722.513965585149,0.1105040454915751,Email,Retention,10777.32,6205.967793556592,685.7845473784276,11463.104547378427,1.4273310001653063
8,708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0.00019094,0.99981,40-50,4340.2252646614,0.07488702511676562,Social Media,Retention,4911.33,6205.967793556592,464.74646602991106,5376.076466029911,0.23866300438424887
9,710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0.00019751,0.9998,60+,4276.16424658091,0.10565381045785065,PPC,Awareness,12162.96,6205.967793556592,655.6841449679538,12818.644144967953,1.9976968623731766
10,710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,4.7799e-05,0.99995,50-60,6471.478381592296,0.199995,SEO,Retention,12691.08,6205.967793556592,1241.1625288723508,13932.24252887235,1.1528685884977563
11,816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,9.6126e-05,0.9999,30-40,1941.5277312323228,0.017214627781692096,SEO,Consideration,6192.9,6205.967793556592,106.83342559124571,6299.733425591246,2.244730077377103
12,712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0.00011382,0.99989,50-60,5032.90005873534,0.13226228219794334,Referral,Retention,2528.64,6205.967793556592,820.8154636227298,3349.4554636227294,-0.33448798415751263
13,714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,6.3492e-05,0.99994,40-50,4199.3151347554185,0.0816165655345272,Social Media,Retention,3620.8199999999997,6205.967793556592,506.5097771279768,4127.329777127977,-0.01714216611934137
14,709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0.00023623,0.99976,40-50,7962.47177833641,0.13457388745045762,Referral,Retention,30245.399999999998,6205.967793556592,835.1612113712497,31080.56121137125,2.9033810199406287
15,753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0.00014953,0.99985,40-50,8051.608638613726,0.16618142345836184,Social Media,Consideration,12488.88,6205.967793556592,1031.3165618699836,13520.196561869983,0.6791919687986478
16,806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0.00017468,0.99983,60+,5883.45500473211,0.09398126483650684,Referral,Conversion,1135.68,6205.967793556592,583.2447027730741,1718.9247027730742,-0.7078375374009779
17,709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,5.5077e-05,0.99994,40-50,6083.274615344376,0.17636311783514214,Social Media,Consideration,14777.43,6205.967793556592,1094.5038292561183,15871.933829256119,1.6091101968701118
18,806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,5.703e-05,0.99994,40-50,8390.744332781376,0.02053490917127354,Email,Retention,24165.54,6205.967793556592,127.43898496053349,24292.978984960533,1.8952114403070914
19,708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0.99616,0.0038363,60+,9081.353790603422,0.010018,Social Media,Consideration,2114.301,6205.967793556592,62.17138535584995,2176.47238535585,-0.7603361309843616
20,784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,6.9242e-05,0.99993,40-50,1451.4155009370393,0.18279848016260655,PPC,Retention,3752.1,6205.967793556592,1134.4414806002299,4886.54148060023,2.3667419684063318
21,811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0.00020735,0.99979,40-50,9997.914781,0.07717784179953605,SEO,Consideration,1006.56,6205.967793556592,478.96320058412647,1485.5232005841265,-0.851416697068952
22,789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0.00021042,0.99979,50-60,3343.5794359212696,0.15570054226923352,Email,Consideration,15393.42,6205.967793556592,966.2725507621601,16359.69255076216,3.8928679172398692
