CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Month_with_bank,No_of_product,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Count,Avg_Utilization_Ratio
768805383,Existing Customer,45,M,3,High School,Married,60 - 80,Blue,39,5,1,12691.0,777,1144,42,0.061
818770008,Existing Customer,49,F,5,Graduate,Single,Less than 40,Blue,44,6,1,8256.0,864,1291,33,0.105
713982108,Existing Customer,51,M,3,Graduate,Married,80 - 120,Blue,36,4,1,3418.0,0,1887,20,0.0
709106358,Existing Customer,40,M,3,Uneducated,Married,60 - 80,Blue,21,5,1,4716.0,0,816,28,0.0
713061558,Existing Customer,44,M,2,Graduate,Married,40 - 60,Blue,36,3,1,4010.0,1247,1088,24,0.311
710930508,Existing Customer,37,M,3,Uneducated,Single,60 - 80,Blue,36,5,2,22352.0,2517,1350,24,0.113
719661558,Existing Customer,48,M,2,Graduate,Single,80 - 120,Blue,36,6,3,11656.0,1677,1441,32,0.144
710599683,Existing Customer,56,M,1,College,Single,80 - 120,Blue,36,3,6,11751.0,0,1539,17,0.0
712396908,Existing Customer,57,F,2,Graduate,Married,Less than 40,Blue,48,5,2,2436.0,680,1570,29,0.279
709967358,Existing Customer,48,M,4,Post-Graduate,Single,80 - 120,Blue,36,6,2,30367.0,2362,1671,27,0.078
806160108,Existing Customer,61,M,1,High School,Married,40 - 60,Blue,56,2,2,3193.0,2517,1336,30,0.788
806165208,Existing Customer,47,M,1,Doctorate,Divorced,60 - 80,Blue,42,5,2,20979.0,1800,1178,27,0.086
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than 40,Blue,49,2,3,1438.3,0,692,16,0.0
784725333,Existing Customer,41,M,3,High School,Married,40 - 60,Blue,33,4,2,4470.0,680,931,18,0.152
771071958,Existing Customer,41,F,3,Graduate,Single,Less than 40,Blue,28,6,1,7768.0,1669,1051,22,0.215
806624208,Existing Customer,47,M,4,High School,Married,40 - 60,Blue,42,6,0,4785.0,1362,1045,38,0.285
712991808,Existing Customer,53,M,2,Uneducated,Married,60 - 80,Blue,48,2,5,2451.0,1690,1596,26,0.69
709029408,Existing Customer,41,M,4,Graduate,Married,60 - 80,Blue,36,4,1,8923.0,2517,1589,24,0.282
788658483,Existing Customer,53,F,2,College,Married,Less than 40,Blue,38,5,2,2650.0,1490,1411,28,0.562
787937058,Existing Customer,58,M,0,Graduate,Married,80 - 120,Blue,49,6,2,12555.0,1696,1291,24,0.135
715318008,Existing Customer,55,F,1,College,Single,Less than 40,Blue,36,4,2,3520.0,1914,1407,43,0.544
