CLIENTNUM,Savings,Duration_of_Contact,Num_of_Contacts_Made,Last_Contacted,Outcome
768805383,92261.56,1101,29,82,0
818770008,0.0,864,58,40,1
713982108,692103.67,1205,43,399,1
709106358,679049.13,701,29,403,1
713061558,119855.45,1859,11,372,1
710930508,1128308.4,1180,20,298,1
719661558,758582.48,1423,3,416,1
710599683,0.0,722,33,655,0
712396908,41594.83,1579,35,56,1
709967358,194308.99,1140,27,222,0
806160108,352951.51,534,34,687,1
806165208,501137.27,1236,14,372,1
708508758,0.0,126,35,259,1
784725333,95652.59,306,20,135,1
771071958,156389.69,995,41,247,1
806624208,165220.62,2456,30,15,0
712991808,106669.1,95,18,228,0
709029408,318622.74,2,10,109,0
788658483,136170.59,1042,2,297,1
787937058,952257.09,167,55,656,0
715318008,68109.36,99,46,555,0
713962233,169545.74,306,37,378,0
785432733,156302.08,628,18,348,0
827111283,451258.78,200,24,301,1
773146383,707180.17,485,13,701,1
778493808,374033.65,982,22,268,1
712661433,413685.62,968,63,291,1
789172683,120327.29,731,51,64,1
738406533,260227.02,996,31,76,1
799723908,334493.63,569,39,427,1
771490833,200057.2,90,51,121,0
779471883,89796.59,1193,34,70,1
711525033,100810.05,1224,24,63,0
714374133,631765.44,835,44,412,1
716632758,0.0,890,5,175,0
768563658,69441.01,950,9,341,0
714091983,235749.77,1677,13,775,1
712030833,319167.2,564,21,339,0
711481533,0.0,700,12,35,0
710082708,610073.8,2078,7,283,1
708155733,721417.43,476,21,532,1
788979258,512561.37,174,43,485,0
807986133,515483.53,1291,43,756,1
788730933,88471.42,993,24,222,1
711314058,792441.99,1419,25,77,1
717975333,367445.21,988,32,393,1
715971108,480013.86,1263,30,75,1
720096558,339861.38,565,43,48,0
820582308,56949.28,486,7,140,0
789973308,322106.1,2241,3,50,0
712876233,657891.62,348,44,686,1
804595158,213394.8,2,3,486,1
714826758,211021.57,1691,10,182,1
779058108,117068.84,1806,12,134,0
710790258,92510.52,559,11,547,0
715623483,457972.19,63,2,297,1
794543958,0.0,3284,22,842,0
716396358,828876.47,377,19,475,1
715398033,1474196.63,1001,37,30,1
711743883,118168.43,658,29,182,1
719720058,0.0,1313,11,165,1
717539808,116503.54,511,24,263,1
714070758,579744.09,1165,4,445,0
714107958,214158.94,375,24,369,1
789140283,232388.51,142,41,826,1
719712633,43661.83,883,50,396,0
772629333,437070.71,408,32,667,1
720336708,241327.8,605,34,13,0
802013583,537392.7,832,8,421,1
779155158,434665.06,978,3,444,1
721091583,0.0,790,51,205,1
716657058,200912.29,82,13,401,1
779509983,1231601.27,273,2,263,0
717929133,133543.56,1046,33,437,0
710916408,161858.54,792,6,455,1
799825758,112210.79,295,9,246,0
