CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Month_with_bank,No_of_product,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Count,Avg_Utilization_Ratio,Credit Score,Outstanding Loans,Balance,PhoneService,InternetService,TechSupport,PaperlessBilling,PaymentMethod,Savings,Duration_of_Contact,Num_of_Contacts_Made,Last_Contacted,Outcome,Loyalty,Financial_Status,Segment,Digital_Capability
768805383,Existing Customer,45,M,3,High School,Married,60 - 80,Blue,39,5,1,12691.0,777,1144,42,0.061,699.2864812812352,11535.199322540142,122009.53504370968,1,1,2,0,2,452014.73,73,2,-1,0,4,7,2,True
818770008,Existing Customer,49,F,5,Graduate,Single,Less than 40,Blue,44,6,1,8256.0,864,1291,33,0.105,538.4634025682481,41951.497052935054,142179.35489792397,1,0,2,0,2,0.0,70,1,-1,0,3,3,1,True
713982108,Existing Customer,51,M,3,Graduate,Married,80 - 120,Blue,36,4,1,3418.0,0,1887,20,0.0,362.25612984304735,22450.13341845098,104256.96399060154,1,1,0,1,2,300598.61,206,3,-1,0,3,5,2,True
709106358,Existing Customer,40,M,3,Uneducated,Married,60 - 80,Blue,21,5,1,4716.0,0,816,28,0.0,595.761835017674,60251.91518087008,164998.69587046182,1,0,2,0,3,0.0,977,1,-1,0,3,5,2,True
713061558,Existing Customer,44,M,2,Graduate,Married,40 - 60,Blue,36,3,1,4010.0,1247,1088,24,0.311,504.2705793622496,15663.342989055896,96531.2525115066,1,0,1,1,0,184422.42,15,1,9,0,2,4,2,True
710930508,Existing Customer,37,M,3,Uneducated,Single,60 - 80,Blue,36,5,2,22352.0,2517,1350,24,0.113,363.58376771237647,28467.770605640468,199031.09569211537,1,1,2,1,3,0.0,429,1,328,0,3,5,2,True
719661558,Existing Customer,48,M,2,Graduate,Single,80 - 120,Blue,36,6,3,11656.0,1677,1441,32,0.144,803.8878067987672,3102.5267321140236,356087.2915705542,1,0,0,0,1,356846.32,145,1,326,0,3,11,4,True
710599683,Existing Customer,56,M,1,College,Single,80 - 120,Blue,36,3,6,11751.0,0,1539,17,0.0,519.9659624146443,42436.15927403292,199604.46531098173,1,0,2,0,3,546301.45,361,3,-1,1,2,6,2,True
712396908,Existing Customer,57,F,2,Graduate,Married,Less than 40,Blue,48,5,2,2436.0,680,1570,29,0.279,344.8409414089524,27777.434605555536,197209.6547472244,1,2,2,1,0,0.0,642,2,-1,0,3,4,2,True
709967358,Existing Customer,48,M,4,Post-Graduate,Single,80 - 120,Blue,36,6,2,30367.0,2362,1671,27,0.078,453.215846121025,28459.335861815976,180956.84692190817,1,2,1,1,1,370163.42,154,1,344,0,3,6,2,True
806160108,Existing Customer,61,M,1,High School,Married,40 - 60,Blue,56,2,2,3193.0,2517,1336,30,0.788,476.0270080287517,28386.600491366553,179914.54183102213,1,1,0,1,2,0.0,164,1,-1,1,1,4,2,True
806165208,Existing Customer,47,M,1,Doctorate,Divorced,60 - 80,Blue,42,5,2,20979.0,1800,1178,27,0.086,325.98053459899586,22587.12231224846,59299.53909727077,1,1,0,1,1,374630.12,14,1,167,0,3,3,1,True
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than 40,Blue,49,2,3,1438.3,0,692,16,0.0,401.30406273258984,10836.18715252725,68005.1367080473,1,0,1,0,0,90400.75,211,3,-1,1,1,4,2,True
784725333,Existing Customer,41,M,3,High School,Married,40 - 60,Blue,33,4,2,4470.0,680,931,18,0.152,192.32900306420993,56940.29307194242,122697.96590017668,0,2,2,0,0,182446.39,326,1,-1,0,2,1,1,True
771071958,Existing Customer,41,F,3,Graduate,Single,Less than 40,Blue,28,6,1,7768.0,1669,1051,22,0.215,818.6665988023021,14324.238903178724,169347.238973208,1,1,0,1,3,0.0,138,5,-1,0,3,7,2,True
806624208,Existing Customer,47,M,4,High School,Married,40 - 60,Blue,42,6,0,4785.0,1362,1045,38,0.285,899.3956765808587,13368.567979222082,197092.90753905236,0,0,1,0,3,0.0,778,1,-1,0,3,9,4,False
712991808,Existing Customer,53,M,2,Uneducated,Married,60 - 80,Blue,48,2,5,2451.0,1690,1596,26,0.69,587.8500402465506,26012.45659912205,164968.67288033414,1,0,2,1,1,474221.12,27,1,-1,0,1,6,2,True
709029408,Existing Customer,41,M,4,Graduate,Married,60 - 80,Blue,36,4,1,8923.0,2517,1589,24,0.282,465.0400995969445,-3207.8757461568093,200986.11644724305,1,0,2,1,2,0.0,60,1,-1,1,2,8,4,True
788658483,Existing Customer,53,F,2,College,Married,Less than 40,Blue,38,5,2,2650.0,1490,1411,28,0.562,409.2419416633786,10426.39965642907,82554.6249749203,1,1,2,0,3,251260.02,85,1,-1,0,3,4,2,True
787937058,Existing Customer,58,M,0,Graduate,Married,80 - 120,Blue,49,6,2,12555.0,1696,1291,24,0.135,276.97660390829753,33792.01412485879,-11457.800468050758,1,1,0,1,3,95285.68,55,2,-1,1,3,3,1,True
715318008,Existing Customer,55,F,1,College,Single,Less than 40,Blue,36,4,2,3520.0,1914,1407,43,0.544,750.5428854093723,12164.525434151574,205951.552932877,1,2,0,1,0,0.0,655,1,-1,0,3,9,4,True
713962233,Existing Customer,55,F,3,Graduate,Married,Less than 40,Blue,36,6,2,3035.0,2298,1877,37,0.757,796.5575376256905,14604.831481071444,162655.72271286423,1,2,2,1,2,0.0,88,1,-1,0,4,7,2,True
785432733,Existing Customer,42,F,4,High School,Married,Less than 40,Gold,36,2,3,15433.0,0,966,22,0.0,472.1646190435423,11575.15583342751,112351.17392018189,1,1,0,0,3,0.0,230,1,-1,0,1,5,2,False
827111283,Existing Customer,45,M,3,Graduate,Single,80 - 120,Blue,41,2,2,32426.0,578,1109,28,0.018,540.8302117420818,45865.68202206647,81487.10434858261,0,2,0,0,2,361502.51,55,4,110,0,1,4,2,False
773146383,Existing Customer,50,F,1,College,Single,40 - 60,Silver,43,3,2,17304.0,2517,1756,33,0.145,576.1482438757895,10848.379156388808,259910.24522023468,1,0,0,1,0,244492.83,155,3,-1,0,2,7,2,True
