CLIENTNUM,Income_Category,No_of_product,Total_Trans_Amt,Total_Trans_Count,Credit Score,Outstanding Loans,Balance,PhoneService,InternetService,TechSupport,PaperlessBilling,PaymentMethod,Churned,Time
733607565,0,1,973,28,628,38257,218679,0,2,1,0,0,0,2024-01-08
856598266,1,3,1634,88,653,39473,10978,0,2,1,0,2,0,2024-01-08
909727049,1,5,1723,74,589,31258,275257,0,1,1,0,3,0,2024-01-08
161982512,4,5,1116,32,347,7590,41391,0,0,0,1,2,0,2024-01-08
270863839,1,1,2146,50,746,18786,281665,0,1,1,0,0,0,2024-01-08
874091434,1,1,2110,63,331,36796,73696,0,1,2,0,1,0,2024-01-08
958614210,0,5,1008,39,697,26170,180869,1,1,2,1,1,0,2024-01-08
863067864,1,5,1046,30,800,21926,55731,1,2,0,0,0,0,2024-01-08
412983175,3,3,3609,65,541,8320,148483,0,2,0,1,1,0,2024-01-08
423469399,4,5,2485,57,626,49905,201716,1,1,1,0,3,0,2024-01-08
934485876,4,1,2376,72,420,14510,262964,1,1,1,1,0,0,2024-01-08
406487249,1,3,1020,34,335,10140,253992,0,0,2,0,2,0,2024-01-08
892861251,2,3,2959,83,801,4390,158200,1,2,0,0,2,0,2024-01-08
924735632,2,1,977,27,739,46174,236365,0,2,0,1,3,0,2024-01-08
817236708,3,5,2483,68,443,26233,122807,1,2,2,0,0,0,2024-01-08
717569283,3,3,3457,57,555,40979,66552,1,2,0,0,1,0,2024-01-08
162503705,2,3,1971,57,388,24239,119468,1,0,1,1,3,0,2024-01-08
84483369,2,5,3071,90,696,6017,250673,0,2,0,1,1,0,2024-01-08
716445783,3,1,2892,79,838,28445,68807,0,2,2,0,2,1,2024-01-08
133172123,1,1,2231,19,802,12809,1482,1,1,1,1,3,1,2024-01-08
921257510,2,3,3580,65,487,718,104622,0,1,1,1,0,0,2024-01-08
351033201,0,3,3419,88,720,44925,299949,1,2,0,1,0,1,2024-01-08
696126637,4,5,2095,85,469,2528,121809,0,0,2,1,0,0,2024-01-08
709762008,1,1,2419,61,618,49166,214875,1,0,2,0,2,0,2024-01-08
716782758,4,5,2286,77,534,1921,9280,1,2,1,0,0,0,2024-01-08
83442734,2,5,3104,54,592,6510,129060,0,2,1,1,2,0,2024-01-08
784789758,2,3,3210,32,828,565,203687,1,2,1,0,2,0,2024-01-08
789260150,1,3,1469,63,744,34853,33129,0,2,1,0,3,0,2024-01-08
635666548,4,3,2190,34,614,21758,196651,0,2,1,0,3,0,2024-01-08
969035500,3,5,1627,19,573,21809,223250,0,2,0,0,0,0,2024-01-08
567121883,2,3,3107,54,714,31528,245630,1,2,1,0,3,0,2024-01-08
673654970,4,1,1549,68,836,22113,189626,1,1,0,0,2,0,2024-01-08
762205214,1,3,2229,18,473,41686,266711,1,1,0,0,2,0,2024-01-08
516172082,1,1,1319,30,698,16768,235067,0,1,1,1,0,0,2024-01-08
950803619,1,1,3505,23,467,48371,27960,1,2,1,1,0,0,2024-01-08
716825808,0,3,2696,57,782,36789,10148,1,0,0,0,2,0,2024-01-08
796373488,2,5,3276,34,533,39822,138537,0,0,0,0,1,0,2024-01-08
73069247,0,3,1551,18,346,24682,214294,0,0,1,0,0,0,2024-01-08
149266237,4,5,2226,36,556,35305,186671,1,0,0,1,1,0,2024-01-08
45639732,3,5,3267,59,690,12415,60071,1,0,2,0,3,0,2024-01-08
468659095,0,5,3189,36,502,26960,296930,0,1,2,0,1,0,2024-01-08
515816656,0,5,1029,57,706,48409,67956,1,1,0,1,1,0,2024-01-08
760650656,2,3,2762,70,832,47388,292395,0,2,2,1,3,0,2024-01-08
502874833,1,1,3196,77,746,16960,68733,1,0,0,1,3,0,2024-01-08
720049083,4,1,1705,52,711,26815,96511,1,2,1,0,1,0,2024-01-08
483417577,4,5,2485,65,724,2230,219498,1,1,1,0,3,1,2024-01-08
987530657,0,1,1364,74,301,8340,171925,1,2,1,1,1,0,2024-01-08
711835407,4,1,2126,38,406,40979,88462,0,2,2,1,0,0,2024-01-08
789880533,4,5,1992,66,621,41843,239368,0,1,0,0,1,0,2024-01-08
536855670,0,1,1198,30,574,32049,245447,0,2,2,0,1,0,2024-01-08
364159218,1,3,1321,90,580,9365,86795,0,0,2,0,2,0,2024-01-08
576652291,2,5,3417,32,701,17005,55321,1,2,1,0,1,1,2024-01-08
662450308,3,1,3057,70,676,1829,5916,0,2,2,0,1,0,2024-01-08
272144354,4,3,1992,88,725,43669,98703,1,2,2,1,1,0,2024-01-08
715459158,1,5,3281,28,835,39163,279319,0,2,1,0,0,0,2024-01-08
200021261,0,3,3147,19,548,31531,34864,0,2,0,0,1,0,2024-01-08
302488042,1,3,933,86,822,12619,65770,1,2,0,1,0,0,2024-01-08
11630531,3,3,3191,70,558,28640,67897,0,0,0,0,1,0,2024-01-08
36798937,0,1,3022,90,733,49805,229374,1,0,1,0,2,0,2024-01-08
689395352,0,1,3429,52,634,39655,132262,0,1,2,0,3,0,2024-01-08
865093879,4,1,1962,43,670,21002,246989,1,1,0,1,0,0,2024-01-08
712644483,0,5,2461,77,441,44599,193323,1,0,2,0,0,0,2024-01-08
318800893,1,3,971,70,820,171,14446,0,0,2,0,2,0,2024-01-08
702190734,3,3,1013,28,814,22260,38988,0,1,1,1,3,0,2024-01-08
293870224,4,5,3335,43,778,41411,7064,1,2,1,0,2,0,2024-01-08
158430030,3,1,2953,34,326,46318,78494,0,2,0,0,3,0,2024-01-08
549154208,0,3,3507,63,581,7455,78708,1,0,2,1,3,0,2024-01-08
708856983,4,1,1044,41,556,8456,219044,0,2,2,1,0,1,2024-01-08
837592877,2,1,2557,90,768,3791,218242,0,0,0,0,0,0,2024-01-08
121891410,2,5,2832,59,738,30318,17557,1,2,1,1,2,0,2024-01-08
987748142,3,5,1422,32,656,29425,251965,1,0,1,1,2,0,2024-01-08
867034106,1,1,961,61,715,11152,52202,0,0,0,1,3,0,2024-01-08
757500754,0,1,1029,18,344,18813,255520,1,2,2,0,0,0,2024-01-08
750634814,1,1,2930,88,771,45362,286335,1,0,0,0,3,0,2024-01-08
44283271,3,3,3435,76,610,49230,209598,0,1,2,0,3,0,2024-01-08
896778132,4,1,3439,52,439,16861,233433,1,2,2,1,0,0,2024-01-08
131157218,3,1,3133,52,495,26856,180352,1,1,1,1,0,0,2024-01-08
523246643,4,5,2208,39,608,25871,299468,1,0,0,0,2,0,2024-01-08
77670066,2,1,1560,76,527,4059,67189,0,1,0,1,1,0,2024-01-08
919706475,0,3,1147,32,658,14278,29211,1,0,0,1,1,0,2024-01-08
433623670,1,3,2707,27,617,49953,48473,1,2,1,1,1,0,2024-01-08
248660753,2,3,3507,74,838,29093,53882,1,0,2,0,1,0,2024-01-08
789637308,2,5,3467,18,464,17057,52278,0,0,2,1,0,0,2024-01-08
33284226,4,1,1621,38,712,32893,297434,0,2,1,1,3,0,2024-01-08
887193576,3,5,948,63,827,31308,231554,1,0,1,0,0,0,2024-01-08
495071198,4,5,1285,86,808,26016,117730,1,0,1,1,1,0,2024-01-08
863141928,3,5,1500,70,709,42674,55688,1,0,0,1,1,1,2024-01-08
487701134,2,5,1037,83,635,6632,6158,0,0,0,1,3,1,2024-01-08
786830789,4,5,1205,72,832,45899,192646,0,0,0,1,1,0,2024-01-08
902633275,3,3,1811,27,342,21745,99730,1,0,1,0,1,0,2024-01-08
170323056,4,3,3324,65,376,24102,213731,0,2,2,0,0,0,2024-01-08
333421316,2,1,1721,52,619,6061,208234,0,2,0,1,3,0,2024-01-08
16640817,1,3,1100,70,536,21888,276101,1,2,1,0,3,0,2024-01-08
835161696,3,3,2544,47,792,37958,173457,0,1,1,1,1,0,2024-01-08
940346407,4,3,2427,19,352,38557,58109,1,0,1,0,2,0,2024-01-08
879836495,0,3,981,72,300,43291,66900,1,2,2,0,1,0,2024-01-08
302170272,1,3,946,41,385,24104,146128,0,2,2,1,0,0,2024-01-08
813240408,0,1,1855,65,670,26238,295861,0,1,1,1,0,1,2024-01-08
809022468,4,1,2318,48,466,9028,196739,1,2,0,0,1,0,2024-01-08
142562563,0,5,1572,38,551,23605,235426,0,1,1,1,2,0,2024-01-08
502913682,3,3,3471,74,508,32527,232289,1,2,0,0,1,0,2024-01-08
866081987,0,1,906,43,736,37308,4348,1,0,1,1,1,0,2024-01-08
709579383,2,5,2410,83,459,40581,222797,1,2,0,1,2,0,2024-01-08
855276588,2,3,3194,54,417,23606,198015,0,2,2,0,2,0,2024-01-08
115870095,0,5,3221,19,409,43674,6578,1,0,0,0,1,0,2024-01-08
211177627,0,3,1152,72,548,35849,58107,1,2,2,1,0,0,2024-01-08
713166333,2,5,1667,27,461,4049,273200,0,0,0,1,2,1,2024-01-08
552219397,2,3,1225,79,802,38598,214906,0,1,2,1,0,0,2024-01-08
496029363,3,3,2818,50,473,16994,227281,1,0,1,1,0,0,2024-01-08
992165157,3,1,1514,25,775,29459,249192,0,0,2,0,0,0,2024-01-08
920997860,2,1,2981,70,749,35332,172768,1,1,0,0,0,0,2024-01-08
288716223,3,5,1400,83,772,27518,271855,0,1,1,0,1,0,2024-01-08
815062383,4,3,2083,47,768,8676,56239,0,1,0,1,2,0,2024-01-08
797783207,4,3,2106,79,809,22127,226401,0,2,1,0,3,1,2024-01-08
638761421,3,3,2027,77,368,32036,239710,0,1,0,1,2,0,2024-01-08
333680935,1,1,2620,68,616,41001,68954,1,0,2,1,0,0,2024-01-08
356700593,4,3,2919,25,776,43917,98418,1,0,1,1,3,0,2024-01-08
631987985,1,5,2385,19,575,34094,84013,1,2,0,1,2,0,2024-01-08
392648972,0,1,1198,66,411,46722,9338,1,1,0,0,3,0,2024-01-08
11799482,3,1,2600,32,564,33036,128443,0,0,2,1,3,0,2024-01-08
