CLIENTNUM,Income_Category,No_of_product,Total_Trans_Amt,Total_Trans_Count,Credit Score,Outstanding Loans,Balance,PhoneService,InternetService,TechSupport,PaperlessBilling,PaymentMethod,Churned,Time
720725058,4,1,1858,45,523,22869,273599,1,2,2,1,0,0,2024-01-15
301444963,3,2,1522,18,429,9797,147459,1,0,1,0,3,0,2024-01-15
245087228,0,1,512,41,562,19269,199917,1,0,0,0,1,0,2024-01-15
731275100,3,1,736,35,805,21717,211797,1,2,1,0,0,0,2024-01-15
879333489,2,1,1505,18,449,46459,198187,1,0,1,0,0,0,2024-01-15
527314469,1,2,1361,38,601,34643,36061,1,2,0,1,1,0,2024-01-15
986657218,3,3,1146,50,585,19167,31362,1,1,0,0,2,0,2024-01-15
708917133,0,1,1666,40,446,23520,85639,1,1,0,1,3,0,2024-01-15
802276683,1,1,513,10,351,26630,253527,0,0,2,0,2,0,2024-01-15
517730324,3,1,1470,47,681,30187,35500,1,0,0,1,1,0,2024-01-15
576451731,0,3,1768,37,783,19256,292282,1,1,1,1,2,0,2024-01-15
824748218,2,3,812,26,675,8217,3367,0,1,2,1,0,0,2024-01-15
400631111,0,2,917,39,564,14576,122672,0,2,1,1,2,0,2024-01-15
4345817,4,2,1521,16,552,30879,137961,1,0,2,1,2,1,2024-01-15
192959781,4,1,1474,47,748,27613,262074,0,0,1,1,3,0,2024-01-15
412581442,0,1,1629,31,655,30077,117769,1,1,1,1,2,0,2024-01-15
900840884,1,1,1666,10,482,39437,222797,1,0,2,1,0,1,2024-01-15
717324183,2,2,1756,14,675,23334,260355,0,1,2,1,1,0,2024-01-15
714012258,1,2,942,37,641,19630,121288,0,2,0,1,1,0,2024-01-15
801995525,4,2,1194,45,637,8646,266586,1,2,0,0,1,0,2024-01-15
671041466,2,3,1190,34,693,35939,166438,0,1,1,0,0,0,2024-01-15
715450496,3,2,1947,17,510,36815,2978,0,1,1,1,3,0,2024-01-15
814222007,0,3,962,42,669,14450,8398,1,1,2,1,1,0,2024-01-15
569872252,2,2,1775,36,503,23250,55430,1,1,2,0,3,0,2024-01-15
931104338,4,1,1748,10,711,20984,24272,0,2,0,0,0,0,2024-01-15
152880598,1,2,748,42,460,42408,227693,0,0,2,1,3,1,2024-01-15
852451531,3,2,1066,37,746,4781,123205,1,0,1,0,1,0,2024-01-15
882031754,3,2,988,49,642,23652,52009,1,0,0,0,3,0,2024-01-15
717172308,2,1,1814,13,691,9317,152794,0,2,2,0,0,1,2024-01-15
551948944,2,1,1563,37,666,9699,236241,0,0,2,0,1,0,2024-01-15
16315813,4,3,1854,22,437,31823,95592,1,1,1,1,3,0,2024-01-15
561335528,3,1,851,20,422,46516,175937,1,1,1,0,2,0,2024-01-15
388365827,4,1,974,18,576,41805,44620,0,2,0,0,3,0,2024-01-15
369948994,1,1,1371,23,652,32022,245760,1,0,2,1,2,0,2024-01-15
391247428,4,1,1861,35,649,22402,143190,0,2,1,0,1,0,2024-01-15
303614206,2,3,1042,10,467,6245,52051,1,0,1,1,1,0,2024-01-15
863728023,2,2,1122,38,642,24923,32868,1,1,0,1,2,1,2024-01-15
945328889,4,1,1477,44,671,1347,43457,1,1,1,0,2,0,2024-01-15
711814608,4,1,532,21,655,15205,260808,0,1,1,0,1,0,2024-01-15
638326440,4,1,1579,23,825,13793,198112,1,0,0,1,3,0,2024-01-15
217183203,3,3,1623,17,848,22470,115614,0,2,0,1,2,0,2024-01-15
609238557,1,3,1760,30,554,35795,179351,1,0,0,1,1,0,2024-01-15
445183627,1,3,723,20,572,15953,27441,0,2,2,0,3,0,2024-01-15
725567991,3,2,562,23,427,25511,251687,0,1,1,0,0,0,2024-01-15
956138071,4,2,1528,29,492,34981,62666,0,2,2,0,0,0,2024-01-15
498843923,4,3,1030,24,783,44789,232189,0,0,2,1,0,1,2024-01-15
323832004,1,3,1280,26,527,34553,75968,1,0,2,1,1,0,2024-01-15
718354683,1,2,533,20,386,12453,238060,0,2,2,0,3,0,2024-01-15
650445286,0,1,1946,29,500,42636,257104,0,1,0,1,0,0,2024-01-15
36614438,1,2,1600,46,413,42067,110295,0,1,2,1,2,0,2024-01-15
745528333,3,2,1498,34,481,23609,141579,1,0,2,1,3,0,2024-01-15
766673829,0,2,1490,46,829,15897,279898,1,0,2,1,1,0,2024-01-15
90290085,0,1,972,48,825,19274,291721,1,2,0,1,2,0,2024-01-15
491356509,2,2,1457,49,357,8088,37835,0,1,2,0,3,1,2024-01-15
837951498,4,3,861,26,848,4573,278585,0,0,2,1,1,0,2024-01-15
622061874,0,2,1646,50,585,33725,218515,1,0,0,1,2,1,2024-01-15
170572179,0,1,1141,48,368,18177,25892,1,1,0,1,2,0,2024-01-15
437002563,0,2,1793,30,709,27808,86595,1,1,0,1,2,0,2024-01-15
126761158,3,1,1997,50,712,35858,182068,1,1,2,0,0,0,2024-01-15
159320255,4,1,645,50,849,7407,219050,1,1,2,1,2,0,2024-01-15
812408058,2,1,1006,24,392,47613,63304,1,2,1,0,0,0,2024-01-15
928437709,4,1,787,40,636,4068,44492,1,0,2,1,0,0,2024-01-15
