CLIENTNUM,Income_Category,No_of_product,Total_Trans_Amt,Total_Trans_Count,Credit Score,Outstanding Loans,Balance,PhoneService,InternetService,TechSupport,PaperlessBilling,PaymentMethod
768805383,2,5,1144,42,208.36975790622404,17603.754925835943,138064.49772334157,1,1,1,1,0
818770008,4,6,1291,33,580.3701909562038,20268.328368044913,183534.45557724015,1,1,0,1,2
713982108,3,4,1887,20,811.6973312090498,35988.367604472674,238012.55737770646,1,2,1,0,2
709106358,2,5,816,28,411.5898644449969,40308.63459819615,189197.96257457754,1,2,1,1,1
713061558,1,3,1088,24,545.5738684705595,24408.18181271171,179421.2545183043,1,0,0,1,2
710930508,2,5,1350,24,551.1868562610063,33148.91254513522,80879.94639187909,1,1,0,1,2
719661558,3,6,1441,32,909.4523933506218,17931.969099997143,27990.0942765223,1,1,2,1,2
710599683,3,3,1539,17,526.6232650681227,19217.14233986659,154932.22979825828,1,0,0,0,2
712396908,4,5,1570,29,382.5030100085795,26046.353672918733,79619.60391110316,1,1,1,0,3
709967358,3,6,1671,27,641.3663021948856,31794.515348611498,336106.6251845044,1,0,0,1,3
806160108,1,2,1336,30,692.6926239774285,55397.7428735422,185564.3100623687,1,0,1,1,1
806165208,2,5,1178,27,558.3928999375792,32382.19621972053,226262.72112139768,1,1,0,1,1
708508758,4,2,692,16,459.55470272302534,13512.779322909086,-47590.85789938763,1,0,0,0,1
784725333,1,4,931,18,490.2747411701023,28237.615135796368,127987.58709991697,1,0,2,1,3
771071958,4,6,1051,22,567.9166331325409,33174.77470857963,202180.02621676843,1,1,0,1,1
806624208,1,6,1045,38,719.3722155999409,-802.4561998217578,164106.28024887422,1,1,2,0,1
712991808,2,2,1596,26,343.55016695797286,58119.656152936775,544.1470581801696,1,0,0,1,1
709029408,2,4,1589,24,282.7278455227715,37369.02889454573,13241.981327755813,1,1,0,0,0
788658483,4,5,1411,28,505.28783409988034,28788.894762003092,98126.91633044032,1,0,0,1,2
787937058,3,6,1291,24,737.1433555117198,14487.732658079514,108308.55442261902,1,1,2,0,2
715318008,4,4,1407,43,498.3822485149956,16624.782438517024,172876.3470272218,1,0,0,0,1
713962233,4,6,1877,37,264.131842732168,39927.30922979322,106959.25197684176,1,0,2,0,1
785432733,4,2,966,22,652.3238140653111,-4239.834803524671,332736.2774148296,1,1,2,0,0
827111283,3,2,1109,28,376.99064005945735,18596.194262884284,110749.13954388755,1,0,0,0,3
773146383,1,3,1756,33,452.3067870782775,30613.900291806527,199330.90898839617,1,0,0,0,3
778493808,2,5,1756,32,723.8939459471703,18924.01075430979,36468.28156525429,1,0,0,0,1
712661433,3,3,1444,28,631.3659837813248,20899.15412071467,20134.812915550036,1,1,0,0,2
789172683,2,6,1741,27,476.1834833479837,43212.58831842325,103224.99388235265,1,0,1,0,3
738406533,1,3,1719,27,546.7947218221033,3621.434788927083,9549.216851680889,1,0,0,1,2
799723908,3,4,1217,27,357.5110909256499,27322.737364861146,179087.30003438928,1,0,2,1,0
771490833,3,5,1140,40,736.0077862151497,13237.578251241643,37289.891581058866,1,1,0,0,2
779471883,4,2,705,19,687.8520153034469,24400.734570461336,282598.7589512386,1,2,2,1,0
711525033,4,3,1946,38,702.2525687866082,24850.73126478542,35187.13662666574,1,0,0,0,1
714374133,0,1,602,15,857.8556849076924,-2260.804264371396,83312.17729247292,1,0,0,0,2
716632758,4,2,1295,40,554.942608942452,1768.6446834875678,125807.59208591178,1,1,0,1,3
768563658,1,4,1424,29,411.00421707173456,25774.219730181405,51750.1853064028,1,1,1,1,0
