CLIENTNUM,Income_Category,No_of_product,Total_Trans_Amt,Total_Trans_Count,Credit Score,Outstanding Loans,Balance,PhoneService,InternetService,TechSupport,PaperlessBilling,PaymentMethod
768805383,2,5,1144,42,539.2094480024452,29714.189474506522,193402.4436944563,1,1,0,1,2
818770008,4,6,1291,33,775.0422874899147,21986.24510742902,-6874.812132906896,1,0,2,0,0
713982108,3,4,1887,20,682.9808504808716,33081.294156263815,191118.65014597052,1,1,0,1,3
709106358,2,5,816,28,524.1315324392253,14076.458640561183,171293.88207717173,1,1,0,0,2
713061558,1,3,1088,24,431.0619355820743,25031.888511231515,61686.537114269035,0,1,1,1,2
710930508,2,5,1350,24,641.0156177327503,47625.855109459095,154826.9787068988,1,1,0,1,2
719661558,3,6,1441,32,531.6800997960468,34047.41390193363,251550.82105689618,1,1,2,1,2
710599683,3,3,1539,17,411.7865793192884,1537.1129789816405,119358.64781106007,1,1,0,1,2
712396908,4,5,1570,29,608.215389194494,20297.125338672133,168082.1791894903,1,1,0,1,0
709967358,3,6,1671,27,840.8461996219057,36001.633398893944,165356.99814679835,1,1,0,1,3
806160108,1,2,1336,30,360.190274219642,5125.05691985926,141884.57670536457,1,2,2,1,3
806165208,2,5,1178,27,565.8756539428314,57717.29486918358,-39962.33684044068,1,0,0,1,2
708508758,4,2,692,16,725.3582244657513,18281.01139775834,134560.63733942842,1,2,0,0,2
784725333,1,4,931,18,829.0658760728745,3734.121764775915,131235.06766276437,1,0,1,1,1
771071958,4,6,1051,22,543.2906968386704,43500.97076184361,114821.7664062,1,1,2,1,1
806624208,1,6,1045,38,636.9838541525127,20066.258534370554,200595.90710649983,0,1,2,0,1
712991808,2,2,1596,26,624.8555172677461,45994.61888862186,41781.99706971549,1,0,2,0,0
709029408,2,4,1589,24,616.3345462846129,10572.131303984424,103145.40437615066,1,0,1,1,2
788658483,4,5,1411,28,610.1885649294682,23200.551590567247,60335.8991196812,1,0,1,1,0
787937058,3,6,1291,24,833.7776964519742,32458.54027490288,95742.07218786815,1,1,0,1,2
715318008,4,4,1407,43,663.5837464951973,15751.777283453546,107691.97264077878,1,0,0,1,1
713962233,4,6,1877,37,717.5948081658129,52104.68562719651,136055.0459043532,1,2,0,0,0
785432733,4,2,966,22,566.9450229279721,7657.548949909953,-5096.823623905191,1,1,0,1,3
827111283,3,2,1109,28,574.2429997170582,2032.2081668253704,255287.15830585727,1,0,0,1,3
773146383,1,3,1756,33,332.3165017164241,16156.943121909791,72118.20214264718,1,2,2,1,0
778493808,2,5,1756,32,571.7933924514242,35048.691049507775,89502.26607190934,1,1,2,1,1
712661433,3,3,1444,28,739.2284470971922,2173.390421826811,207963.0272775476,1,0,0,1,1
789172683,2,6,1741,27,609.2733278298176,13851.936422337236,116902.54124397124,1,0,0,1,2
738406533,1,3,1719,27,573.512437679033,1095.229445396344,108777.57757403636,1,2,2,0,0
