CLIENTNUM,Income_Category,No_of_product,Total_Trans_Amt,Total_Trans_Count,Credit Score,Outstanding Loans,Balance,PhoneService,InternetService,TechSupport,PaperlessBilling,PaymentMethod,Recency,Frequency,Monetary,engagement_score,ClickThroughRate,ConversionRate,ChosenTiming,ChosenFrequency,ChosenChannel
174242464,1,2,8518,87,633.7468339187565,7425.428327516867,170318.16734086518,1,1,1,0,1,0.6428571428571428,0.6444444444444445,0.4830441193149597,0.5953894262706784,0.10188340897390058,8.915924206414162e-05,6,1,Email
829514337,0,4,1695,44,682.3523824475328,20642.02332337685,198266.6851244032,1,1,0,1,2,0.48901098901098905,0.32592592592592595,0.09612112963593059,0.3222185122729526,0.10188340897390058,8.915924206414162e-05,6,1,Email
230453802,4,3,1744,75,465.20186204115214,17551.97039574677,172676.0489253127,0,2,0,1,1,0.08241758241758246,0.5555555555555556,0.09889985255755926,0.22930365540096742,0.10188340897390058,8.915924206414162e-05,6,1,Email
656759514,1,2,1447,55,833.4284364706609,26614.67457099001,123039.02060230129,1,1,1,0,1,0.8681318681318682,0.4074074074074074,0.08205738913462629,0.49409218621535733,0.10188340897390058,8.915924206414162e-05,6,1,Email
82857415,1,5,5393,85,644.518849652403,30136.112771854096,131365.42616702616,1,1,1,1,3,0.6840659340659341,0.6296296296296297,0.3058296472723148,0.5542641566969569,0.10188340897390058,8.915924206414162e-05,6,1,Email
630469523,2,6,2534,52,363.4005861954479,33241.403195464634,9696.30679073454,1,1,0,1,3,0.9560439560439561,0.3851851851851852,0.1436996710899399,0.54108303930012,0.10188340897390058,8.915924206414162e-05,6,1,Email
335012474,4,3,1226,72,362.8689151985925,13343.135309259502,124846.59223519602,1,2,0,1,1,0.45329670329670335,0.5333333333333333,0.06952478167177044,0.3621761158202125,0.10188340897390058,8.915924206414162e-05,6,1,Email
90504179,4,3,3694,68,621.5907240122649,27710.70420222963,156218.98160045382,1,0,0,0,3,0.1785714285714286,0.5037037037037037,0.20948168311216966,0.28538418747333344,0.10188340897390058,8.915924206414162e-05,6,1,Email
467816253,3,2,3708,79,685.6563994736243,5021.741482530833,232860.2692950493,1,0,2,1,0,0.20879120879120883,0.5851851851851851,0.21027560394692071,0.3221547202561153,0.10188340897390058,8.915924206414162e-05,6,1,Email
950521147,1,4,7831,90,559.0759466776847,14942.395132596082,114516.02787959212,1,0,1,0,3,0.08791208791208793,0.6666666666666666,0.4440852897811047,0.36839042209916656,0.10188340897390058,8.915924206414162e-05,6,1,Email
23194634,2,6,2138,44,332.80898302416426,17351.193293847886,73636.34211944335,1,1,0,0,1,0.3131868131868132,0.32592592592592595,0.12124305319269593,0.25942541901031185,0.10188340897390058,8.915924206414162e-05,6,1,Email
758856316,4,1,9298,37,549.3839430058325,16753.338241388286,85480.6727505598,1,1,0,1,0,0.06043956043956045,0.2740740740740741,0.5272768515368039,0.26458110185908756,0.10188340897390058,8.915924206414162e-05,6,1,Email
947261376,0,4,1993,46,680.7692339107931,7854.60879904293,111605.72017986805,1,0,2,1,1,0.793956043956044,0.34074074074074073,0.11302030168991721,0.453710730311615,0.10188340897390058,8.915924206414162e-05,6,1,Email
771224358,1,3,4030,78,617.0196873747129,37638.068304220455,157237.80547734385,1,0,1,1,2,0.8131868131868132,0.5777777777777777,0.22853578314619485,0.567168793551917,0.10188340897390058,8.915924206414162e-05,6,1,Email
753208833,1,5,3967,71,635.4923797630303,7599.728182763461,167170.55085275148,1,1,1,0,0,0.6840659340659341,0.5259259259259259,0.22496313938981513,0.498893093221096,0.10188340897390058,8.915924206414162e-05,6,1,Email
447117315,3,4,5073,74,589.9741028364649,-1701.438243094035,4308.961245700295,0,2,1,0,1,0.16758241758241754,0.5481481481481482,0.287682885335148,0.31778227707795587,0.10188340897390058,8.915924206414162e-05,6,1,Email
46218869,3,2,1430,74,754.9815473740921,17183.34927252263,75432.99041207513,0,1,0,0,1,0.5082417582417582,0.5481481481481482,0.0810933424067143,0.39206915046316204,0.10188340897390058,8.915924206414162e-05,6,1,Email
374405420,3,4,2131,51,809.1137593933546,17291.314418166672,82341.18705092242,0,1,0,1,1,0.4368131868131868,0.37777777777777777,0.12084609277532041,0.3243124358912042,0.10188340897390058,8.915924206414162e-05,6,1,Email
716176683,3,5,4460,78,624.1776085063473,10370.305480961666,114925.02787020589,1,0,0,1,2,0.2637362637362637,0.5777777777777777,0.2529204944992628,0.35470398717761764,0.10188340897390058,8.915924206414162e-05,6,1,Email
368438923,2,3,2127,74,692.6788529800092,21821.95370034715,98482.91604375628,1,1,0,1,3,0.8653846153846154,0.5481481481481482,0.12061925825110582,0.5467840680736225,0.10188340897390058,8.915924206414162e-05,6,1,Email
778377183,0,5,4846,92,447.2668619348707,51498.64842454104,159374.3907463742,1,1,0,1,2,0.8901098901098901,0.6814814814814815,0.27481002608597027,0.6429314083141916,0.10188340897390058,8.915924206414162e-05,6,1,Email
