CLIENTNUM,Loyalty,Financial_Status,Segment,Digital_Capability
768805383,4,7,2,True
818770008,3,3,1,True
713982108,3,5,2,True
709106358,3,5,2,True
713061558,2,4,2,True
710930508,3,5,2,True
719661558,3,11,4,True
710599683,2,6,2,True
712396908,3,4,2,True
709967358,3,6,2,True
806160108,1,4,2,True
806165208,3,3,1,True
708508758,1,4,2,True
784725333,2,1,1,True
771071958,3,7,2,True
806624208,3,9,4,False
712991808,1,6,2,True
709029408,2,8,4,True
788658483,3,4,2,True
787937058,3,3,1,True
715318008,3,9,4,True
713962233,4,7,2,True
785432733,1,5,2,False
827111283,1,4,2,False
773146383,2,7,2,True
778493808,3,7,2,True
712661433,2,8,4,True
789172683,3,6,2,True
738406533,2,5,2,True
799723908,2,5,2,True
771490833,3,2,1,True
779471883,1,5,2,True
711525033,3,4,2,True
714374133,1,10,4,False
716632758,1,4,2,True
768563658,2,4,2,False
714091983,2,5,2,True
712030833,1,7,2,True
711481533,3,4,2,True
710082708,1,6,2,True
708155733,2,10,4,False
788979258,2,5,2,False
807986133,3,6,2,True
788730933,3,3,1,True
711314058,1,3,1,True
717975333,3,4,2,True
715971108,3,5,2,True
720096558,3,4,2,True
820582308,3,6,2,True
789973308,2,7,2,True
712876233,3,9,4,True
804595158,3,3,1,True
714826758,4,6,2,True
779058108,3,4,2,True
710790258,3,4,2,True
715623483,3,8,4,True
794543958,3,9,4,True
716396358,3,5,2,True
715398033,2,5,2,True
711743883,3,8,4,True
719720058,2,4,2,False
717539808,2,6,2,True
714070758,2,10,4,True
714107958,2,5,2,True
789140283,3,8,4,True
719712633,3,6,2,True
772629333,3,4,2,True
720336708,4,2,2,True
802013583,2,5,2,True
779155158,3,7,2,True
721091583,2,5,2,True
716657058,1,4,2,True
779509983,3,9,4,True
717929133,3,2,1,False
710916408,2,5,2,True
799825758,3,5,2,True
718619883,1,5,2,True
711844758,3,6,2,True
714798783,3,4,2,True
771894558,2,7,2,True
721074183,2,2,1,True
715259583,2,7,2,True
718414008,2,10,4,False
719666283,2,5,2,True
714877233,2,4,2,True
785387883,3,7,2,True
771075258,2,5,2,True
711318033,2,6,2,True
783554958,3,3,1,True
720201033,2,4,2,True
718039683,2,3,1,True
714752208,3,3,1,True
714490308,2,11,4,False
713356833,2,5,2,True
711402333,1,2,1,True
708296883,2,4,2,True
719154483,3,6,2,True
717721458,5,8,4,True
715674483,2,5,2,True
789322833,1,6,2,True
709919283,1,8,4,True
718744008,2,8,4,True
