CLIENTNUM,Loyalty,Financial_Status,Segment,Digital_Capability
768805383,3,5,2,True
818770008,3,5,2,True
713982108,2,3,1,True
709106358,3,2,1,True
713061558,2,5,2,True
710930508,3,3,1,True
719661558,3,1,1,True
710599683,2,3,1,True
712396908,3,8,4,True
709967358,3,6,2,True
806160108,1,5,2,True
806165208,3,4,2,True
708508758,1,4,2,True
784725333,2,4,2,True
771071958,3,4,2,True
806624208,3,4,2,True
712991808,1,6,2,True
709029408,2,4,2,True
788658483,3,4,2,True
787937058,3,5,2,True
715318008,2,4,2,True
713962233,3,3,1,True
785432733,1,5,2,False
827111283,1,2,1,True
773146383,2,5,2,True
778493808,3,3,1,True
712661433,2,4,2,False
789172683,3,2,1,True
738406533,2,4,2,True
799723908,2,4,2,True
771490833,3,5,2,True
779471883,1,4,2,True
711525033,2,6,2,True
714374133,1,2,1,True
716632758,1,5,2,True
768563658,2,3,1,True
714091983,2,3,1,True
712030833,1,7,4,True
711481533,3,5,2,True
710082708,1,3,1,True
708155733,2,7,4,True
788979258,2,3,1,True
807986133,3,4,2,True
788730933,3,6,2,True
711314058,1,5,2,True
717975333,3,3,1,True
715971108,2,5,2,True
720096558,3,5,2,True
820582308,3,4,2,False
789973308,2,8,4,False
712876233,3,5,2,True
804595158,3,7,4,True
714826758,4,4,2,True
779058108,3,3,1,True
710790258,3,5,2,True
715623483,2,2,1,True
794543958,3,6,2,True
716396358,3,5,2,True
715398033,2,2,1,True
711743883,3,3,1,True
719720058,2,5,2,True
717539808,2,4,2,True
714070758,2,4,2,True
714107958,2,5,2,True
789140283,3,6,2,True
719712633,3,1,1,True
772629333,3,6,2,True
720336708,3,4,2,True
802013583,2,5,2,True
779155158,3,4,2,True
721091583,2,5,2,True
716657058,1,3,1,True
779509983,3,4,2,True
717929133,3,5,2,True
710916408,2,1,1,True
799825758,3,3,1,True
718619883,1,4,2,True
711844758,3,5,2,True
714798783,3,6,2,False
771894558,2,9,4,True
721074183,2,7,4,True
715259583,2,2,1,True
718414008,2,7,4,True
719666283,2,6,2,True
714877233,2,5,2,True
785387883,3,3,1,True
771075258,1,6,2,True
711318033,2,4,2,True
783554958,3,3,1,True
720201033,2,5,2,True
718039683,2,4,2,True
714752208,3,6,2,True
714490308,2,3,1,True
713356833,2,4,2,True
711402333,1,6,2,True
708296883,2,5,2,True
719154483,3,7,4,True
717721458,4,4,2,True
715674483,2,5,2,True
789322833,1,4,2,True
709919283,1,4,2,True
718744008,2,6,2,False
767712558,1,4,2,True
712950783,2,3,1,True
716104983,3,7,4,True
818839983,2,1,1,True
712350858,2,6,2,True
711009708,3,7,4,False
712215258,1,5,2,True
773827008,3,2,1,True
795232683,2,7,4,True
713539833,3,3,1,True
712454058,3,2,1,True
718803333,1,4,2,True
720253908,3,1,1,True
713187033,2,7,4,True
772426383,3,7,4,True
710975883,2,3,1,False
714264408,2,6,2,True
715827858,2,2,1,True
713741358,3,2,1,True
709531908,5,4,2,True
714141108,3,5,2,True
712608783,2,7,4,True
820353558,2,2,1,True
714964758,3,6,2,True
716264358,3,4,2,True
717296808,2,5,2,True
712977183,3,8,4,True
710829108,2,9,4,True
779562633,2,7,4,False
715315833,3,2,1,True
815500983,3,4,2,True
719360583,3,2,1,True
709701558,2,6,2,True
779862408,2,6,2,True
812627208,3,2,1,True
711033408,3,3,1,True
780376683,3,3,1,True
714454758,2,2,1,True
780466533,3,4,2,True
715735233,3,2,1,True
720476733,1,3,1,True
712375758,2,1,1,False
708868233,1,1,1,True
718030083,2,5,2,True
771698658,2,4,2,False
748326258,2,5,2,True
770817783,2,6,2,True
779353083,2,3,1,True
711441333,2,4,2,True
719808558,1,7,4,True
711551958,2,5,2,True
809164083,1,7,4,True
820596183,3,1,1,True
715999608,2,2,1,True
805543158,3,5,2,False
709752183,2,4,2,True
716479233,3,2,1,True
713837058,2,6,2,True
718876683,3,4,2,True
794843883,3,5,2,True
803043933,2,6,2,False
714606558,3,3,1,True
778425408,3,3,1,True
714171108,3,5,2,True
719662458,3,6,2,True
713137233,2,5,2,False
769425858,2,7,4,True
711297483,3,4,2,False
788900883,2,6,2,True
758348808,2,2,1,True
772336458,2,5,2,True
717906783,3,7,4,True
719437908,4,4,2,True
769433508,3,5,2,True
790096533,2,8,4,False
720997383,1,5,2,True
709930758,3,6,2,True
710741208,3,5,2,True
821797008,1,4,2,True
708874533,1,7,4,False
715341858,4,7,4,True
793636308,1,5,2,True
712125258,2,5,2,True
709703433,2,5,2,True
721022433,3,6,2,True
710103558,2,4,2,True
715952883,3,2,1,True
772390908,1,7,4,True
787348608,2,4,2,True
709485033,2,4,2,True
799471833,2,7,4,True
714187533,1,5,2,True
779656908,3,7,4,False
778867533,1,3,1,True
789483333,3,5,2,True
809855808,3,3,1,True
771809733,1,5,2,True
719942883,2,4,2,True
717806133,3,3,1,True
720615708,3,6,2,True
714511758,2,2,1,True
715050408,2,4,2,True
721132233,1,2,1,True
719211558,1,4,2,True
712069008,2,5,2,True
715996983,3,3,1,True
773466258,2,1,1,True
798983508,2,7,4,True
716451183,3,3,1,True
715085733,3,5,2,True
788977833,1,3,1,True
720272958,2,6,2,True
708421833,3,5,2,True
715120608,1,6,2,True
779078733,2,6,2,True
720250158,3,6,2,True
716458983,3,3,1,True
713747733,3,0,1,True
712270158,3,6,2,True
754897008,1,7,4,True
819700533,3,6,2,False
712890408,3,3,1,True
720248208,3,0,1,True
779749908,1,0,1,True
717401883,3,5,2,True
721509558,2,4,2,True
714576183,3,6,2,True
721425558,1,6,2,True
711109908,1,6,2,True
715203108,1,6,2,True
710027508,2,4,2,True
787464408,3,4,2,True
783542133,4,2,2,True
708330858,1,2,1,True
712701333,3,4,2,True
773373108,2,6,2,True
715812258,3,4,2,True
778286433,4,4,2,True
789270033,2,2,1,True
711569433,2,3,1,True
720214833,2,3,1,True
788194458,2,4,2,True
