CLIENTNUM,Loyalty,Financial_Status,Segment,Digital_Capability
768805383,4,5,2,True
818770008,3,5,2,True
713982108,2,6,2,True
709106358,3,5,2,True
713061558,2,2,1,True
710930508,3,4,2,True
719661558,3,5,2,True
710599683,2,4,2,True
712396908,3,6,2,True
709967358,3,6,2,True
806160108,1,5,2,True
806165208,3,1,1,True
708508758,1,7,4,False
784725333,2,8,4,True
771071958,3,2,1,True
806624208,3,7,4,True
712991808,1,2,1,True
709029408,2,6,2,True
788658483,3,4,2,True
787937058,3,5,2,True
715318008,3,5,2,True
713962233,3,5,2,True
785432733,1,4,2,True
827111283,1,8,4,True
773146383,2,3,1,True
778493808,3,3,1,True
712661433,2,9,4,True
789172683,3,5,2,True
738406533,2,6,2,True
799723908,2,4,2,True
771490833,3,2,1,True
779471883,1,7,4,True
711525033,3,7,4,True
714374133,1,5,2,True
716632758,1,6,2,True
768563658,2,4,2,True
714091983,2,5,2,True
712030833,1,2,1,True
711481533,3,7,4,True
710082708,1,3,1,True
708155733,2,4,2,True
788979258,2,5,2,True
807986133,3,4,2,True
788730933,3,3,1,True
711314058,1,2,1,True
717975333,3,7,4,True
715971108,2,6,2,True
720096558,3,4,2,True
820582308,3,2,1,True
789973308,2,5,2,True
712876233,3,6,2,True
804595158,3,3,1,False
714826758,4,3,2,False
779058108,3,3,1,True
710790258,3,7,4,True
715623483,2,5,2,True
794543958,3,5,2,True
716396358,3,5,2,True
715398033,2,3,1,True
711743883,3,6,2,True
719720058,2,3,1,True
717539808,2,6,2,True
714070758,2,5,2,True
714107958,2,6,2,True
789140283,3,7,4,True
719712633,3,6,2,True
772629333,3,5,2,True
720336708,4,9,4,True
802013583,2,5,2,True
779155158,3,3,1,True
721091583,2,3,1,False
716657058,1,5,2,True
779509983,3,4,2,True
717929133,3,4,2,True
710916408,2,3,1,False
799825758,3,4,2,False
718619883,1,3,1,True
711844758,3,5,2,True
714798783,3,5,2,True
771894558,2,9,4,True
721074183,2,6,2,True
715259583,2,6,2,False
718414008,2,6,2,True
719666283,2,2,1,True
714877233,2,2,1,True
785387883,3,6,2,True
771075258,2,2,1,True
711318033,2,5,2,True
783554958,3,7,4,True
720201033,2,5,2,True
718039683,2,4,2,True
714752208,3,8,4,True
714490308,2,2,1,False
713356833,2,7,4,True
711402333,1,6,2,True
708296883,2,4,2,True
719154483,3,4,2,True
717721458,5,2,2,True
715674483,2,5,2,True
789322833,1,4,2,True
709919283,1,3,1,True
718744008,2,5,2,True
767712558,1,6,2,True
712950783,2,4,2,False
716104983,3,5,2,True
